fsku,actual_t10,actual_t11,actual_t12,actual_t1,final_fc_t12,ma3_fc_t12,acc_final_t12,acc_ma3_t12,final_fc_t1,ma3_fc_t1,acc_final_t1,acc_ma3_t1,final_fc_t2,final_fc_t3
32.L1.ACC-080160-001,5.0,63.0,35,11,36,27.0,97.1%,78.1%,37,34.0,0.0%,0.0%,42,39
32.L1.ACC-080160-002,0.0,0.0,1,1,0,0.0,0.0%,0.0%,1,0.0,100.0%,33.3%,1,1
32.L1.ACC-080160-003,116.0,59.0,5,6,64,58.0,0.0%,0.0%,43,60.0,0.0%,0.0%,35,31
32.L1.ACC-080160-004,21.0,21.0,93,4,45,60.0,48.4%,64.9%,57,45.0,0.0%,0.0%,61,66
32.L1.ACC-120120-001,72.0,11.0,0,,27,28.0,,,18,28.0,,,11,11
32.L1.ACC-120120-002,0.0,0.0,0,,0,47.0,,,0,0.0,,,0,0
32.L1.ACC-120120-003,32.0,62.0,0,2,41,33.0,,,25,31.0,0.0%,0.0%,25,20
32.L1.ACC-120120-004,2.0,6.0,14,,7,9.0,50.0%,61.9%,9,7.0,,,10,10
32.L1.ACC-120120-005,0.0,2.0,43,3,20,9.0,46.5%,21.7%,1,15.0,33.3%,0.0%,1,1
32.L1.ACC-120120-006,0.0,0.0,12,,0,0.0,0.0%,2.8%,6,4.0,,,7,8
32.L1.ACC-120120-007,11.0,1.0,23,1,5,4.0,21.7%,17.4%,10,12.0,0.0%,0.0%,6,14
32.L1.ACC-120120-008,98.0,0.0,13,,29,33.0,0.0%,0.0%,26,37.0,,,17,19
32.L1.ACC-120120-009,15.0,2.0,0,,12,16.0,,,4,6.0,,,2,2
32.L1.ACC-120120-010,66.0,0.0,95,,20,22.0,21.1%,23.2%,61,54.0,,,59,67
33.L1.ICO-020120-11002,5.0,0.0,138,435,159,57.0,84.8%,41.5%,2,48.0,0.5%,11.0%,1,3
33.L1.ICO-020120-11005,420.0,144.0,0,103,293,347.0,,,127,188.0,76.7%,17.5%,92,84
33.L1.ICO-020120-13001,1905.0,529.0,192,162,990,1069.0,0.0%,0.0%,162,875.0,100.0%,0.0%,97,442
33.L1.ICO-020120-13003,574.0,0.0,0,,381,539.0,,,0,191.0,,,0,0
33.L1.ICO-020120-13004,0.0,339.0,210,,270,280.0,71.4%,66.5%,0,183.0,,,0,32
