fsku,actual_t10,wma_t10,ma3_t10,acc_wma_t10,acc_ma3_t10,actual_t11,wma_t11,ma3_t11,acc_wma_t11,acc_ma3_t11,actual_t12,final_t12,ma3_t12,acc_final_t12,acc_ma3_t12,actual_t1,final_t1,ma3_t1,acc_final_t1,acc_ma3_t1,final_t2,final_t3,actual_t1_num
09.L1.6060.CA01GM6601,376.0,61.0,61.0,16.31205673758864,16.31205673758864,585.0,127.0,127.0,21.76638176638176,21.76638176638176,0,178,320.0,,,32,251,320.0,0.0,0.0,242,196,32
09.L1.6060.CA01GM6602,21.0,213.0,213.0,0.0,0.0,0.0,20.0,20.0,,,0,116,7.0,,,0,0,7.0,,,0,0,0
09.L1.6060.CA03GM6601,191.0,133.0,133.0,69.80802792321117,69.80802792321117,0.0,143.0,143.0,,,134,162,64.0,79.10447761194031,48.00995024875622,0,0,108.0,,,13,47,0
09.L1.6060.CA03GM6602,144.0,11.0,11.0,7.407407407407396,7.407407407407396,0.0,59.0,59.0,,,2,41,48.0,0.0,0.0,0,30,49.0,,,16,17,0
09.L1.6060.CA05GM6601,152.0,116.0,116.0,76.31578947368422,76.31578947368422,13.0,149.0,149.0,0.0,0.0,0,57,74.0,,,0,34,55.0,,,20,20,0
09.L1.6060.CA08GM6602,0.0,16.0,16.0,,,13.0,16.0,16.0,79.48717948717949,79.48717948717949,0,10,4.0,,,0,4,4.0,,,5,4,0
10.L1.3060.4547,696.0,2620.0,2620.0,0.0,0.0,5238.0,1063.0,1063.0,20.287641593483517,20.287641593483517,2297,2832,1984.0,76.70875054418806,86.38804237411115,522,522,2744.0,100.0,0.0,339,1566,522
10.L1.3060.4548,0.0,275.0,275.0,,,237.0,105.0,105.0,44.44444444444444,44.44444444444444,241,276,79.0,85.47717842323651,32.780082987551864,0,0,159.0,,,24,84,0
10.L1.3060.4549,156.0,666.0,666.0,0.0,0.0,648.0,257.0,257.0,39.60905349794239,39.60905349794239,884,405,269.0,45.814479638009054,30.429864253393667,0,0,563.0,,,61,202,0
10.L1.3060.4551,5239.0,1887.0,1887.0,36.01196157027423,36.01196157027423,7358.0,3056.0,3056.0,41.52849506206396,41.52849506206396,846,5571,4732.0,0.0,0.0,0,0,4481.0,,,0,127,0
10.L1.3060.4552,16.0,173.0,173.0,0.0,0.0,330.0,34.0,34.0,10.303030303030303,10.303030303030303,37,50,130.0,64.86486486486487,0.0,0,0,128.0,,,7,25,0
10.L1.3060.4553,482.0,486.0,486.0,99.23928077455048,99.23928077455048,839.0,546.0,546.0,65.07747318235995,65.07747318235995,744,494,657.0,66.3978494623656,88.35125448028674,0,0,688.0,,,74,247,0
10.L1.3060.4554,30.0,750.0,750.0,0.0,0.0,5824.0,287.0,287.0,4.933608058608052,4.933608058608052,996,3046,2159.0,0.0,0.0,0,0,2283.0,,,0,0,0
10.L1.3060.4555,23.0,0.0,0.0,0.0,0.0,673.0,8.0,8.0,1.1391778107974204,1.1391778107974204,362,23,232.0,6.353591160220995,64.08839779005524,0,0,353.0,,,36,127,0
10.L1.3060.4556,18.0,108.0,108.0,0.0,0.0,399.0,30.0,30.0,7.602339181286544,7.602339181286544,37,216,158.0,0.0,0.0,8,142,151.0,0.0,0.0,162,131,8
10.L1.3060.4557,120.0,1306.0,1306.0,0.0,0.0,2840.0,632.0,632.0,22.253521126760567,22.253521126760567,326,1811,1579.0,0.0,0.0,0,0,1095.0,,,0,49,0
10.L1.3060.4558,125.0,43.0,43.0,34.66666666666668,34.66666666666668,118.0,42.0,42.0,35.31073446327683,35.31073446327683,35,122,81.0,0.0,0.0,0,78,93.0,,,73,67,0
10.L1.3060.4559,330.0,304.0,304.0,92.12121212121212,92.12121212121212,226.0,165.0,165.0,73.00884955752213,73.00884955752213,32,226,240.0,0.0,0.0,0,0,196.0,,,3,11,0
10.L1.3060.4561,0.0,1334.0,1334.0,,,5011.0,597.0,597.0,11.9204416949378,11.9204416949378,3632,2614,1851.0,71.97136563876651,50.9636563876652,135,135,2881.0,100.0,0.0,88,135,135
