item_code,location_code,period_start,qty,demand_type,segment,priority,combo_class,branch_archetype,tet_flag,confidence_lower,confidence_upper
10.L1.3060.4547,000,2026-03-01,0.0,FORECAST,B,1,DORMANT_SEASONAL,HIGH_VELOCITY,Y,0.0,0.0
10.L1.3060.4551,000,2025-12-01,0.0,FORECAST,A,1,DORMANT_SEASONAL,HIGH_VELOCITY,N,0.0,0.0
10.L1.3060.4551,000,2026-01-01,0.0,FORECAST,A,1,DORMANT_SEASONAL,HIGH_VELOCITY,Y,0.0,0.0
10.L1.3060.4551,000,2026-02-01,0.0,FORECAST,A,1,DORMANT_SEASONAL,HIGH_VELOCITY,Y,0.0,0.0
10.L1.3060.4551,000,2026-03-01,0.0,FORECAST,A,1,DORMANT_SEASONAL,HIGH_VELOCITY,Y,0.0,0.0
10.L1.3060.4552,000,2025-12-01,0.0,FORECAST,B,1,DORMANT_SEASONAL,HIGH_VELOCITY,N,0.0,0.0
10.L1.3060.4552,000,2026-01-01,0.0,FORECAST,B,1,DORMANT_SEASONAL,HIGH_VELOCITY,Y,0.0,0.0
10.L1.3060.4552,000,2026-02-01,0.0,FORECAST,B,1,DORMANT_SEASONAL,HIGH_VELOCITY,Y,0.0,0.0
10.L1.3060.4552,000,2026-03-01,0.0,FORECAST,B,1,DORMANT_SEASONAL,HIGH_VELOCITY,Y,0.0,0.0
10.L1.3060.4553,000,2025-12-01,0.0,FORECAST,A,1,DORMANT_SEASONAL,HIGH_VELOCITY,N,0.0,0.0
10.L1.3060.4553,000,2026-01-01,0.0,FORECAST,A,1,DORMANT_SEASONAL,HIGH_VELOCITY,Y,0.0,0.0
10.L1.3060.4553,000,2026-02-01,0.0,FORECAST,A,1,DORMANT_SEASONAL,HIGH_VELOCITY,Y,0.0,0.0
10.L1.3060.4553,000,2026-03-01,0.0,FORECAST,A,1,DORMANT_SEASONAL,HIGH_VELOCITY,Y,0.0,0.0
10.L1.3060.4556,000,2025-12-01,0.0,FORECAST,B,1,DORMANT_SEASONAL,HIGH_VELOCITY,N,0.0,0.0
10.L1.3060.4556,000,2026-01-01,0.0,FORECAST,B,1,DORMANT_SEASONAL,HIGH_VELOCITY,Y,0.0,0.0
10.L1.3060.4556,000,2026-02-01,0.0,FORECAST,B,1,DORMANT_SEASONAL,HIGH_VELOCITY,Y,0.0,0.0
10.L1.3060.4556,000,2026-03-01,0.0,FORECAST,B,1,DORMANT_SEASONAL,HIGH_VELOCITY,Y,0.0,0.0
10.L1.3060.4557,000,2025-12-01,0.0,FORECAST,B,1,DORMANT_SEASONAL,HIGH_VELOCITY,N,0.0,0.0
10.L1.3060.4557,000,2026-01-01,0.0,FORECAST,B,1,DORMANT_SEASONAL,HIGH_VELOCITY,Y,0.0,0.0
10.L1.3060.4557,000,2026-02-01,0.0,FORECAST,B,1,DORMANT_SEASONAL,HIGH_VELOCITY,Y,0.0,0.0
10.L1.3060.4557,000,2026-03-01,0.0,FORECAST,B,1,DORMANT_SEASONAL,HIGH_VELOCITY,Y,0.0,0.0
10.L1.3060.4559,000,2025-12-01,0.0,FORECAST,B,1,DORMANT_SEASONAL,HIGH_VELOCITY,N,0.0,0.0
10.L1.3060.4559,000,2026-01-01,0.0,FORECAST,B,1,DORMANT_SEASONAL,HIGH_VELOCITY,Y,0.0,0.0
10.L1.3060.4559,000,2026-02-01,0.0,FORECAST,B,1,DORMANT_SEASONAL,HIGH_VELOCITY,Y,0.0,0.0
10.L1.3060.4559,000,2026-03-01,0.0,FORECAST,B,1,DORMANT_SEASONAL,HIGH_VELOCITY,Y,0.0,0.0
10.L1.3060.4566,000,2025-12-01,0.0,FORECAST,B,1,DORMANT_SEASONAL,HIGH_VELOCITY,N,0.0,0.0
