item_code,period_start,qty
05.L1.8080.USG88002,2026-01-01,1666.0
05.L1.8080.USG88002,2026-02-01,1655.0
05.L1.8080.USG88002,2026-03-01,1742.0
05.L1.8080.USG88003,2025-12-01,865.0
05.L1.8080.USG88003,2026-01-01,633.0
05.L1.8080.USG88003,2026-02-01,605.0
05.L1.8080.USG88003,2026-03-01,577.0
05.L1.8080.USG88004,2025-12-01,776.0
05.L1.8080.USG88004,2026-01-01,1033.0
05.L1.8080.USG88004,2026-02-01,1059.0
05.L1.8080.USG88004,2026-03-01,1106.0
05.L1.8080.USG88005,2025-12-01,788.0
05.L1.8080.USG88005,2026-01-01,746.0
05.L1.8080.USG88005,2026-02-01,709.0
05.L1.8080.USG88005,2026-03-01,697.0
05.L1.8080.USG88006,2025-12-01,1431.0
05.L1.8080.USG88006,2026-01-01,1694.0
05.L1.8080.USG88006,2026-02-01,1720.0
05.L1.8080.USG88006,2026-03-01,1718.0
05.L1.8080.USG88007,2025-12-01,1506.0
05.L1.8080.USG88007,2026-01-01,2452.0
05.L1.8080.USG88007,2026-02-01,2551.0
05.L1.8080.USG88007,2026-03-01,2694.0
05.L1.8080.USG88008,2025-12-01,1543.0
05.L1.8080.USG88008,2026-01-01,2924.0
05.L1.8080.USG88008,2026-02-01,3064.0
05.L1.8080.USG88008,2026-03-01,3288.0
09.L1.1590.CA09GK15903,2025-12-01,72.0
09.L1.1590.CA09GK15903,2026-01-01,0.0
09.L1.1590.CA09GK15903,2026-02-01,0.0
09.L1.1590.CA09GK15903,2026-03-01,0.0
09.L1.1590.CA10GK15901,2025-12-01,0.0
09.L1.1590.CA10GK15901,2026-01-01,81.0
09.L1.1590.CA10GK15901,2026-02-01,359.0
09.L1.1590.CA10GK15901,2026-03-01,344.0
09.L1.3060.CA7GM3602,2025-12-01,0.0
09.L1.3060.CA7GM3602,2026-01-01,15.0
09.L1.3060.CA7GM3602,2026-02-01,16.0
09.L1.3060.CA7GM3602,2026-03-01,18.0
09.L1.3060.CA7GM3603,2025-12-01,32.0
09.L1.3060.CA7GM3603,2026-01-01,8.0
09.L1.3060.CA7GM3603,2026-02-01,7.0
09.L1.3060.CA7GM3603,2026-03-01,6.0
09.L1.6060.CA01GM6601,2025-12-01,178.0
09.L1.6060.CA01GM6601,2026-01-01,251.0
09.L1.6060.CA01GM6601,2026-02-01,242.0
09.L1.6060.CA01GM6601,2026-03-01,196.0
09.L1.6060.CA01GM6602,2025-12-01,116.0
09.L1.6060.CA01GM6602,2026-01-01,0.0
09.L1.6060.CA01GM6602,2026-02-01,0.0
09.L1.6060.CA01GM6602,2026-03-01,0.0
09.L1.6060.CA03GM6601,2025-12-01,162.0
09.L1.6060.CA03GM6601,2026-01-01,0.0
09.L1.6060.CA03GM6601,2026-02-01,13.0
09.L1.6060.CA03GM6601,2026-03-01,47.0
09.L1.6060.CA03GM6602,2025-12-01,41.0
09.L1.6060.CA03GM6602,2026-01-01,30.0
09.L1.6060.CA03GM6602,2026-02-01,16.0
09.L1.6060.CA03GM6602,2026-03-01,17.0
09.L1.6060.CA05GM6601,2025-12-01,57.0
09.L1.6060.CA05GM6601,2026-01-01,34.0
09.L1.6060.CA05GM6601,2026-02-01,20.0
09.L1.6060.CA05GM6601,2026-03-01,20.0
09.L1.6060.CA08GM6602,2025-12-01,10.0
09.L1.6060.CA08GM6602,2026-01-01,4.0
09.L1.6060.CA08GM6602,2026-02-01,5.0
09.L1.6060.CA08GM6602,2026-03-01,4.0
10.L1.3060.4547,2025-12-01,2832.0
10.L1.3060.4547,2026-01-01,522.0
10.L1.3060.4547,2026-02-01,339.0
10.L1.3060.4547,2026-03-01,1566.0
10.L1.3060.4548,2025-12-01,276.0
10.L1.3060.4548,2026-01-01,0.0
10.L1.3060.4548,2026-02-01,24.0
10.L1.3060.4548,2026-03-01,84.0
10.L1.3060.4549,2025-12-01,405.0
10.L1.3060.4549,2026-01-01,0.0
10.L1.3060.4549,2026-02-01,61.0
10.L1.3060.4549,2026-03-01,202.0
10.L1.3060.4551,2025-12-01,5571.0
10.L1.3060.4551,2026-01-01,0.0
10.L1.3060.4551,2026-02-01,0.0
10.L1.3060.4551,2026-03-01,127.0
10.L1.3060.4552,2025-12-01,50.0
10.L1.3060.4552,2026-01-01,0.0
10.L1.3060.4552,2026-02-01,7.0
10.L1.3060.4552,2026-03-01,25.0
10.L1.3060.4553,2025-12-01,494.0
10.L1.3060.4553,2026-01-01,0.0
10.L1.3060.4553,2026-02-01,74.0
10.L1.3060.4553,2026-03-01,247.0
10.L1.3060.4554,2025-12-01,3046.0
10.L1.3060.4554,2026-01-01,0.0
10.L1.3060.4554,2026-02-01,0.0
10.L1.3060.4554,2026-03-01,0.0
10.L1.3060.4555,2025-12-01,23.0
10.L1.3060.4555,2026-01-01,0.0
10.L1.3060.4555,2026-02-01,36.0
10.L1.3060.4555,2026-03-01,127.0
10.L1.3060.4556,2025-12-01,216.0
10.L1.3060.4556,2026-01-01,142.0
10.L1.3060.4556,2026-02-01,162.0
10.L1.3060.4556,2026-03-01,131.0
10.L1.3060.4557,2025-12-01,1811.0
10.L1.3060.4557,2026-01-01,0.0
10.L1.3060.4557,2026-02-01,0.0
10.L1.3060.4557,2026-03-01,49.0
10.L1.3060.4558,2025-12-01,122.0
10.L1.3060.4558,2026-01-01,78.0
10.L1.3060.4558,2026-02-01,73.0
10.L1.3060.4558,2026-03-01,67.0
10.L1.3060.4559,2025-12-01,226.0
10.L1.3060.4559,2026-01-01,0.0
10.L1.3060.4559,2026-02-01,3.0
10.L1.3060.4559,2026-03-01,11.0
10.L1.3060.4561,2025-12-01,2614.0
10.L1.3060.4561,2026-01-01,135.0
10.L1.3060.4561,2026-02-01,88.0
10.L1.3060.4561,2026-03-01,135.0
10.L1.3060.4562,2025-12-01,158.0
10.L1.3060.4562,2026-01-01,0.0
10.L1.3060.4562,2026-02-01,65.0
10.L1.3060.4562,2026-03-01,226.0
10.L1.3060.4563,2025-12-01,250.0
10.L1.3060.4563,2026-01-01,0.0
10.L1.3060.4563,2026-02-01,0.0
10.L1.3060.4563,2026-03-01,0.0
10.L1.3060.4564,2025-12-01,1572.0
10.L1.3060.4564,2026-01-01,0.0
10.L1.3060.4564,2026-02-01,0.0
10.L1.3060.4564,2026-03-01,69.0
10.L1.3060.4565,2025-12-01,327.0
10.L1.3060.4565,2026-01-01,0.0
10.L1.3060.4565,2026-02-01,0.0
10.L1.3060.4565,2026-03-01,0.0
10.L1.3060.4566,2025-12-01,123.0
10.L1.3060.4566,2026-01-01,0.0
10.L1.3060.4566,2026-02-01,0.0
10.L1.3060.4566,2026-03-01,0.0
10.L1.3060.4567,2025-12-01,722.0
10.L1.3060.4567,2026-01-01,162.0
10.L1.3060.4567,2026-02-01,126.0
10.L1.3060.4567,2026-03-01,571.0
10.L1.3060.4568,2025-12-01,60.0
10.L1.3060.4568,2026-01-01,261.0
10.L1.3060.4568,2026-02-01,304.0
10.L1.3060.4568,2026-03-01,230.0
10.L1.3060.4569,2025-12-01,72.0
10.L1.3060.4569,2026-01-01,31.0
10.L1.3060.4569,2026-02-01,36.0
10.L1.3060.4569,2026-03-01,27.0
10.L1.3060.4571,2025-12-01,159.0
10.L1.3060.4571,2026-01-01,0.0
10.L1.3060.4571,2026-02-01,136.0
10.L1.3060.4571,2026-03-01,477.0
10.L1.3060.4572,2025-12-01,30.0
10.L1.3060.4572,2026-01-01,200.0
10.L1.3060.4572,2026-02-01,221.0
10.L1.3060.4572,2026-03-01,249.0
10.L1.3060.4573,2025-12-01,720.0
10.L1.3060.4573,2026-01-01,39.0
10.L1.3060.4573,2026-02-01,25.0
10.L1.3060.4573,2026-03-01,39.0
10.L1.3060.4604,2025-12-01,32.0
10.L1.3060.4604,2026-01-01,61.0
10.L1.3060.4604,2026-02-01,68.0
10.L1.3060.4604,2026-03-01,69.0
10.L1.3060.4605,2025-12-01,141.0
10.L1.3060.4605,2026-01-01,0.0
10.L1.3060.4605,2026-02-01,6.0
10.L1.3060.4605,2026-03-01,21.0
10.L1.3060.4606,2025-12-01,104.0
10.L1.3060.4606,2026-01-01,48.0
10.L1.3060.4606,2026-02-01,43.0
10.L1.3060.4606,2026-03-01,198.0
10.L1.3060.4607,2025-12-01,1092.0
10.L1.3060.4607,2026-01-01,0.0
10.L1.3060.4607,2026-02-01,0.0
10.L1.3060.4607,2026-03-01,0.0
10.L1.3060.4608,2025-12-01,0.0
10.L1.3060.4608,2026-01-01,4.0
10.L1.3060.4608,2026-02-01,5.0
10.L1.3060.4608,2026-03-01,3.0
10.L1.3060.4609,2025-12-01,1920.0
10.L1.3060.4609,2026-01-01,14.0
10.L1.3060.4609,2026-02-01,9.0
10.L1.3060.4609,2026-03-01,14.0
10.L1.3060.4611,2025-12-01,350.0
10.L1.3060.4611,2026-01-01,0.0
10.L1.3060.4611,2026-02-01,29.0
10.L1.3060.4611,2026-03-01,100.0
10.L1.3060.4612,2025-12-01,34.0
10.L1.3060.4612,2026-01-01,0.0
10.L1.3060.4612,2026-02-01,34.0
10.L1.3060.4612,2026-03-01,117.0
10.L1.3060.4613,2025-12-01,300.0
10.L1.3060.4613,2026-01-01,0.0
10.L1.3060.4613,2026-02-01,13.0
10.L1.3060.4613,2026-03-01,43.0
10.L1.3060.4614,2025-12-01,180.0
10.L1.3060.4614,2026-01-01,1880.0
10.L1.3060.4614,2026-02-01,2001.0
10.L1.3060.4614,2026-03-01,2271.0
10.L1.3060.4615,2025-12-01,13.0
10.L1.3060.4615,2026-01-01,109.0
10.L1.3060.4615,2026-02-01,104.0
10.L1.3060.4615,2026-03-01,116.0
10.L1.3060.4616,2025-12-01,130.0
10.L1.3060.4616,2026-01-01,1317.0
10.L1.3060.4616,2026-02-01,1405.0
10.L1.3060.4616,2026-03-01,1593.0
10.L1.3060.4617,2025-12-01,550.0
10.L1.3060.4617,2026-01-01,3771.0
10.L1.3060.4617,2026-02-01,3280.0
10.L1.3060.4617,2026-03-01,3379.0
10.L1.3060.4618,2025-12-01,73.0
10.L1.3060.4618,2026-01-01,183.0
10.L1.3060.4618,2026-02-01,119.0
10.L1.3060.4618,2026-03-01,201.0
10.L1.3060.4619,2025-12-01,200.0
10.L1.3060.4619,2026-01-01,302.0
10.L1.3060.4619,2026-02-01,347.0
10.L1.3060.4619,2026-03-01,293.0
10.L1.3060.4621,2025-12-01,1500.0
10.L1.3060.4621,2026-01-01,0.0
10.L1.3060.4621,2026-02-01,0.0
10.L1.3060.4621,2026-03-01,0.0
10.L1.3060.4622,2025-12-01,346.0
10.L1.3060.4622,2026-01-01,0.0
10.L1.3060.4622,2026-02-01,7.0
10.L1.3060.4622,2026-03-01,24.0
10.L1.3060.4623,2025-12-01,32.0
10.L1.3060.4623,2026-01-01,43.0
10.L1.3060.4623,2026-02-01,49.0
10.L1.3060.4623,2026-03-01,45.0
10.L1.3060.4624,2025-12-01,600.0
10.L1.3060.4624,2026-01-01,642.0
10.L1.3060.4624,2026-02-01,678.0
10.L1.3060.4624,2026-03-01,533.0
10.L1.3060.4625,2025-12-01,38.0
10.L1.3060.4625,2026-01-01,0.0
10.L1.3060.4625,2026-02-01,28.0
10.L1.3060.4625,2026-03-01,98.0
10.L1.3060.4626,2025-12-01,122.0
10.L1.3060.4626,2026-01-01,0.0
10.L1.3060.4626,2026-02-01,0.0
10.L1.3060.4626,2026-03-01,0.0
10.L1.3060.4631,2025-12-01,500.0
10.L1.3060.4631,2026-01-01,81.0
10.L1.3060.4631,2026-02-01,53.0
10.L1.3060.4631,2026-03-01,85.0
10.L1.3060.4632,2025-12-01,169.0
10.L1.3060.4632,2026-01-01,0.0
10.L1.3060.4632,2026-02-01,78.0
10.L1.3060.4632,2026-03-01,274.0
10.L1.3060.4633,2025-12-01,450.0
10.L1.3060.4633,2026-01-01,0.0
10.L1.3060.4633,2026-02-01,0.0
10.L1.3060.4633,2026-03-01,0.0
10.L1.3060.5029,2025-12-01,664.0
10.L1.3060.5029,2026-01-01,0.0
10.L1.3060.5029,2026-02-01,0.0
10.L1.3060.5029,2026-03-01,0.0
10.L1.3060.5761,2025-12-01,130.0
10.L1.3060.5761,2026-01-01,86.0
10.L1.3060.5761,2026-02-01,72.0
10.L1.3060.5761,2026-03-01,81.0
10.L1.3060.5762,2025-12-01,879.0
10.L1.3060.5762,2026-01-01,452.0
10.L1.3060.5762,2026-02-01,349.0
10.L1.3060.5762,2026-03-01,332.0
10.L1.3060.5763,2025-12-01,176.0
10.L1.3060.5763,2026-01-01,0.0
10.L1.3060.5763,2026-02-01,16.0
10.L1.3060.5763,2026-03-01,55.0
10.L1.3060.5791,2025-12-01,112.0
